team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Ecuador,Moisés Caicedo,1,0,0,2022-11-29,2022-11-29
England,Phil Foden,1,0,0,2022-11-29,2022-11-29
Netherlands,Frenkie de Jong,1,0,0,2022-11-29,2022-11-29
Canada,Alphonso Davies,1,0,0,2022-11-27,2022-11-27
IR Iran,Rouzbeh Cheshmi,1,0,0,2022-11-25,2022-11-25
Qatar,Mohammed Muntari,1,0,0,2022-11-25,2022-11-25
Ghana,Osman Bukari,1,0,0,2022-11-24,2022-11-24
Japan,Takuma Asano,1,0,0,2022-11-23,2022-11-23
Spain,Marco Asensio,1,0,0,2022-11-23,2022-11-23
England,Raheem Sterling,1,0,0,2022-11-21,2022-11-21
USA,Timothy Weah,1,0,0,2022-11-21,2022-11-21
England,Luke Shaw,1,0,0,2022-09-26,2022-09-26
England,Mason Mount,1,0,0,2022-09-26,2022-09-26
Croatia,Dejan Lovren,1,0,0,2022-09-25,2022-09-25
Turkiye,Serdar Gürler,1,0,0,2022-09-25,2022-09-25
Scotland,Jack Hendry,1,0,0,2022-09-24,2022-09-24
Spain,Jordi Alba,1,0,0,2022-09-24,2022-09-24
Turkiye,İsmail Yüksek,1,0,0,2022-09-22,2022-09-22
Bosnia and Herzegovina,Miralem Pjanić,1,1,0,2022-06-14,2022-06-14
Germany,Thomas Müller,1,0,0,2022-06-14,2022-06-14
Scotland,Ché Adams,1,0,0,2022-06-14,2022-06-14
Turkiye,Kaan Ayhan,1,0,0,2022-06-14,2022-06-14
Switzerland,Haris Seferovic,1,0,0,2022-06-12,2022-06-12
Bosnia and Herzegovina,Luka Menalo,1,0,0,2022-06-11,2022-06-11
Austria,Andreas Weimann,1,0,0,2022-06-10,2022-06-10
Portugal,Gonçalo Guedes,1,0,0,2022-06-09,2022-06-09
Belgium,Axel Witsel,1,0,0,2022-06-08,2022-06-08
Belgium,Leander Dendoncker,1,0,0,2022-06-08,2022-06-08
Scotland,Anthony Ralston,1,0,0,2022-06-08,2022-06-08
Scotland,Scott McKenna,1,0,0,2022-06-08,2022-06-08
Austria,Xaver Schlager,1,0,0,2022-06-06,2022-06-06
Czechia,Jakub Pešek,1,0,0,2022-06-05,2022-06-05
Portugal,William Carvalho,1,0,0,2022-06-05,2022-06-05
Spain,Iñigo Martínez,1,0,0,2022-06-05,2022-06-05
France,Karim Benzema,1,0,0,2022-06-03,2022-06-03
Switzerland,Noah Okafor,1,0,0,2022-06-02,2022-06-02
Mexico,Uriel Antuna,1,0,0,2022-03-30,2022-03-30
New Zealand,Joe Bell,1,0,0,2022-03-30,2022-03-30
Panama,Gabriel Torres,1,0,0,2022-03-30,2022-03-30
Algeria,Ahmed Touba,1,0,0,2022-03-29,2022-03-29
Congo DR,Ben Malango,1,0,0,2022-03-29,2022-03-29
Japan,Maya Yoshida,1,0,0,2022-03-29,2022-03-29
New Zealand,Liberato Cacace,1,0,0,2022-03-27,2022-03-27
Panama,Aníbal Godoy,1,0,0,2022-03-27,2022-03-27
USA,Paul Arriola,1,0,0,2022-03-27,2022-03-27
Ecuador,Jordy Caicedo,1,1,0,2022-03-24,2022-03-24
Iraq,Hussein Ali Al-Saedi,1,0,0,2022-03-24,2022-03-24
New Zealand,Andre de Jong,1,0,0,2022-03-24,2022-03-24
New Zealand,Logan Rogerson,1,1,0,2022-03-24,2022-03-24
Panama,Rolando Blackburn,1,0,0,2022-03-24,2022-03-24
Paraguay,Robert Morales,1,0,0,2022-03-24,2022-03-24
Portugal,Matheus Nunes,1,0,0,2022-03-24,2022-03-24
Turkiye,Burak Yılmaz,1,0,0,2022-03-24,2022-03-24
New Zealand,Clayton Lewis,1,1,0,2022-03-21,2022-03-21
Canada,Atiba Hutchinson,1,0,0,2022-02-02,2022-02-02
Senegal,Abdou Diallo,1,0,0,2022-02-02,2022-02-02
Senegal,Idrissa Gueye,1,0,0,2022-02-02,2022-02-02
USA,Walker Zimmerman,1,0,0,2022-02-02,2022-02-02
USA,Weston McKennie,1,0,0,2022-02-02,2022-02-02
Australia,Aaron Mooy,1,0,0,2022-02-01,2022-02-01
Brazil,Antony,1,0,0,2022-02-01,2022-02-01
Ecuador,Michael Estrada,1,0,0,2022-02-01,2022-02-01
Korea Republic,Kim Jin-su,1,0,0,2022-02-01,2022-02-01
Korea Republic,Kwon Chang-hoon,1,0,0,2022-02-01,2022-02-01
Uruguay,Edinson Cavani,1,0,0,2022-02-01,2022-02-01
Canada,Sam Adekugbe,1,0,0,2022-01-30,2022-01-30
Panama,Azmahar Ariano,1,0,0,2022-01-30,2022-01-30
Senegal,Cheikhou Kouyaté,1,0,0,2022-01-30,2022-01-30
Australia,Riley McGree,1,0,0,2022-01-27,2022-01-27
Australia,Tom Rogic,1,0,0,2022-01-27,2022-01-27
Japan,Yuya Osako,1,1,0,2022-01-27,2022-01-27
USA,Antonee Robinson,1,0,0,2022-01-27,2022-01-27
Algeria,Sofiane Bendebka,1,0,0,2022-01-20,2022-01-20
Egypt,Mohamed Abdelmonem,1,0,0,2022-01-19,2022-01-19
Ghana,Richmond Boakye,1,0,0,2022-01-18,2022-01-18
Tunisia,Hamza Mathlouthi,1,0,0,2022-01-16,2022-01-16
Morocco,Selim Amallah,1,0,0,2022-01-14,2022-01-14
Cote d'Ivoire,Max Gradel,1,0,0,2022-01-12,2022-01-12
Cabo Verde,Júlio Tavares,1,0,0,2022-01-09,2022-01-09
