team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
Brazil,Rodrygo,4,0,0,2022-02-01,2024-09-06
Uruguay,Luis Suárez,4,1,0,2022-01-27,2024-07-13
Switzerland,Ruben Vargas,4,0,0,2023-03-28,2024-06-29
Germany,İlkay Gündoğan,4,3,0,2022-06-14,2024-06-19
Switzerland,Xherdan Shaqiri,4,1,0,2022-12-02,2024-06-19
Cote d'Ivoire,Seko Fofana,4,0,0,2023-11-17,2024-06-07
Morocco,Hakim Ziyech,4,1,0,2022-12-01,2024-06-07
Qatar,Hassan Al-Haydos,4,0,0,2023-11-16,2024-02-03
Morocco,Achraf Hakimi,4,0,0,2022-01-18,2024-01-21
Portugal,Ricardo Horta,4,0,0,2022-06-02,2023-11-19
Spain,Gavi,4,0,0,2022-06-05,2023-10-15
Portugal,Diogo Jota,4,0,0,2022-03-24,2023-09-11
Croatia,Bruno Petković,4,0,0,2022-12-09,2023-09-08
Mexico,Henry Martín,4,0,0,2022-01-27,2023-07-12
Argentina,Ángel Di María,4,0,0,2022-01-27,2022-12-18
Belgium,Michy Batshuayi,4,0,0,2022-06-03,2022-11-23
Turkiye,Serdar Dursun,4,1,0,2022-06-04,2022-06-11
Bosnia and Herzegovina,Haris Tabaković,3,0,0,2025-11-15,2026-03-31
Iraq,Ali Al-Hamadi,3,0,0,2023-11-16,2026-03-31
Senegal,Iliman Ndiaye,3,0,0,2024-01-23,2026-01-09
Cote d'Ivoire,Yan Diomande,3,0,0,2025-10-10,2026-01-06
South Africa,Evidence Makgopa,3,0,0,2024-01-30,2026-01-04
Cote d'Ivoire,Evann Guessand,3,0,0,2025-03-21,2025-12-31
Cote d'Ivoire,Jean-Philippe Krasso,3,1,0,2023-11-17,2025-12-31
Senegal,Cherif Ndiaye,3,1,0,2025-10-10,2025-12-30
Congo DR,Théo Bongonda,3,0,0,2023-11-15,2025-12-23
Tunisia,Elias Achouri,3,1,0,2025-03-24,2025-12-23
Belgium,Charles De Ketelaere,3,0,0,2023-09-12,2025-11-18
Haiti,Don Deedson Louicius,3,0,0,2025-06-22,2025-11-18
Panama,Eric Davis,3,1,0,2022-01-30,2025-11-18
