date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_norm,away_team_norm,home_points,away_points,home_goal_diff,away_goal_diff
1948-09-19,Norway,Sweden,3,5,Nordic Championship,Oslo,Norway,False,Norway,Sweden,0,3,-2,2
1948-09-26,Denmark,England,0,0,Friendly,Copenhagen,Denmark,False,Denmark,England,1,1,0,0
1948-09-26,United States,Israel,3,1,Friendly,East Rutherford,United States,False,USA,Israel,3,0,2,-2
1948-10-03,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False,Hungary,Austria,3,0,1,-1
1948-10-09,Northern Ireland,England,2,6,British Home Championship,Belfast,Northern Ireland,False,Northern Ireland,England,0,3,-4,4
1948-10-10,Sweden,Denmark,1,0,Nordic Championship,Solna,Sweden,False,Sweden,Denmark,3,0,1,-1
1948-10-10,Switzerland,Czechoslovakia,1,1,Central European International Cup,Basel,Switzerland,False,Switzerland,Czechoslovakia,1,1,0,0
1948-10-11,Jamaica,Haiti,1,0,Friendly,Kingston,Jamaica,False,Jamaica,Haiti,3,0,1,-1
1948-10-13,Jamaica,Haiti,1,2,Friendly,Kingston,Jamaica,False,Jamaica,Haiti,0,3,-1,1
1948-10-16,Jamaica,Haiti,3,0,Friendly,Kingston,Jamaica,False,Jamaica,Haiti,3,0,3,-3
1948-10-17,France,Belgium,3,3,Friendly,Colombes,France,False,France,Belgium,1,1,0,0
1948-10-23,Trinidad and Tobago,Haiti,0,0,Friendly,Port of Spain,Trinidad and Tobago,False,Trinidad and Tobago,Haiti,1,1,0,0
1948-10-23,Wales,Scotland,1,3,British Home Championship,Cardiff,Wales,False,Wales,Scotland,0,3,-2,2
1948-10-27,Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False,Trinidad and Tobago,Haiti,3,0,4,-4
1948-10-28,Iran,Turkey,1,1,Friendly,Tehran,Iran,False,IR Iran,Turkiye,1,1,0,0
1948-10-30,Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False,Trinidad and Tobago,Haiti,3,0,4,-4
1948-10-31,Czechoslovakia,Austria,3,1,Central European International Cup,Bratislava,Czechoslovakia,False,Czechoslovakia,Austria,3,0,2,-2
1948-11-10,England,Wales,1,0,British Home Championship,Birmingham,England,False,England,Wales,3,0,1,-1
1948-11-14,Austria,Sweden,2,1,Friendly,Vienna,Austria,False,Austria,Sweden,3,0,1,-1
1948-11-17,Scotland,Northern Ireland,3,2,British Home Championship,Glasgow,Scotland,False,Scotland,Northern Ireland,3,0,1,-1
1948-11-21,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False,Belgium,Netherlands,1,1,0,0
1948-11-28,Turkey,Greece,2,1,Friendly,Istanbul,Turkey,False,Turkiye,Greece,3,0,1,-1
1948-12-02,England,Switzerland,6,0,Friendly,London,England,False,England,Switzerland,3,0,6,-6
1948-12-05,Republic of Ireland,Switzerland,0,1,Friendly,Dublin,Éire,False,Republic of Ireland,Switzerland,0,3,-1,1
1948-12-16,Guadeloupe,Haiti,1,0,Friendly,Pointe-à-Pitre,Guadeloupe,False,Guadeloupe,Haiti,3,0,1,-1
1948-12-24,Egypt,Norway,1,1,Friendly,Cairo,Egypt,False,Egypt,Norway,1,1,0,0
1949-01-02,China PR,South Korea,3,2,Friendly,So Kon Po,Hong Kong,True,China PR,Korea Republic,3,0,1,-1
1949-01-02,Spain,Belgium,1,1,Friendly,Barcelona,Spain,False,Spain,Belgium,1,1,0,0
1949-01-16,Vietnam,South Korea,3,3,Friendly,Saigon,Vietnam,False,Vietnam,Korea Republic,1,1,0,0
