team,group,confederation,host,model_strength_score,model_strength_z,data_confidence_0_1,rank_strength_0_100,form_strength_0_100,opponent_adjusted_form_0_100,opponent_quality_index_0_100,fifa_rank_april_2026,matches_counted,points_per_match,goal_diff_per_match,goals_for_per_match,goals_against_per_match,attack_balance,defensive_stability,attack_efficiency_proxy,defense_resilience_proxy,squad_depth_proxy,squad_completeness_0_1,fitness_availability_0_1,fitness_risk_score_0_100,source_reliability_0_1,injury_severity_total,recent_goal_scorers,recent_scorer_goals_total,scorer_concentration_top5,video_source_rows,relevant_video_score,power_rating,form_index,attack,midfield,defense,depth,tactical_style,last_match_date,wins,draws,losses,points,goals_for,goals_against,goal_difference,weighted_form_0_100,avg_recent_opponent_rank,recent_clean_sheet_rate,recent_failed_to_score_rate,competitive_match_share,recent_home_match_share,recent_neutral_match_share,recent_upset_score,recent_cross_confed_share,squad_rows,squad_rating_mean,squad_rating_weighted_minutes,attack_player_rating,midfield_player_rating,defense_player_rating,expected_minutes_total,avg_injury_risk,fitness_flag_count,projected_player_xg,active_injury_count,top_scorer_goals,top5_scorer_goals,penalty_goal_share,training_video_count,highlight_video_count,press_video_count,confederation_strength_factor
IR Iran,G,AFC,0,60.02248623547078,0.10178545291596185,0.5700000000000001,76.19047619047619,63.99,36.556,3.5322054021964866,21,12,1.75,1.0833333333333333,1.75,0.6666666666666666,-0.5,83.89473684210526,44.94318181818182,76.56471238065177,38.5,0.0,0.0,20.0,0.8499999999999999,0.0,14,54,0.778,0.0,0.0,77,71,75,75,76,70,compact counterattack,2026-06-04,6,3,3,21,21,8,13,63.99,68.667,0.583,0.25,0.5,0.75,0.583,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,42,0.111,0.0,0.0,0.0,0.76
Ecuador,E,CONMEBOL,0,59.47558495955371,0.060579288535439285,0.5549999999999999,73.80952380952381,62.14,51.278,74.7360386719247,23,12,1.667,0.5833333333333334,1.0,0.4166666666666667,-2.5,88.47368421052632,22.188636363636363,82.69102817012545,40.150000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,11,26,0.731,0.0,0.0,79,73,76,78,79,73,intense pressing,2026-06-07,4,8,0,20,12,5,7,62.14,35.083,0.583,0.333,0.333,0.417,0.333,42.05,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,19,0.192,0.0,0.0,0.0,0.97
Uruguay,H,CONMEBOL,0,58.23497850022357,-0.032893950503862665,0.5800000000000001,80.95238095238095,45.92,35.361,55.3004282746046,17,12,1.417,0.0,0.8333333333333334,0.8333333333333334,-1.5,90.84210526315789,24.31666666666667,74.48050185433598,42.900000000000006,0.0,0.0,20.0,0.8499999999999999,0.0,16,41,0.585,0.0,0.0,84,78,82,83,84,78,intense pressing,2026-03-31,4,5,3,17,10,10,0,45.92,44.25,0.583,0.5,0.5,0.333,0.25,5.25,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,24,0.049,0.0,0.0,0.0,0.97
USA,D,Concacaf,1,58.062775414059615,-0.04586855668558444,0.7426923076923078,82.14285714285714,49.25,54.694,100.0,16,12,1.583,0.08333333333333333,1.75,1.6666666666666667,1.5,78.57894736842105,42.61818181818182,20.926315789473684,62.56923076923077,0.038461538461538464,0.0,100.0,0.9999999999999999,1.5,20,43,0.535,9.0,22.0,80,73,79,78,77,76,athletic pressing,2026-06-06,6,1,5,19,21,20,1,49.25,23.167,0.083,0.167,0.167,1.0,0.0,2.0,0.917,1.0,80.0,80.0,80.0,0.0,0.0,240.0,0.16,1.0,1.0,1.0,8,23,0.07,1.0,1.0,1.0,0.78
Canada,B,Concacaf,1,57.53599963403466,-0.08555836970894569,0.74,65.47619047619048,55.78,41.111,28.62231268286478,30,12,1.75,0.75,1.1666666666666667,0.4166666666666667,3.5,80.47368421052632,27.026515151515156,86.75819458691707,37.95,0.0,0.0,20.0,0.9999999999999999,0.0,18,32,0.562,10.0,20.0,75,70,75,72,71,69,wide transition attacks,2026-06-05,5,6,1,21,14,5,9,55.78,56.833,0.667,0.333,0.167,0.833,0.333,8.4,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18,0.094,0.0,2.0,0.0,0.78
Egypt,G,CAF,0,56.12738275945758,-0.19169031900028774,0.5549999999999999,66.66666666666667,55.28,42.861,40.459229105711735,29,12,1.75,0.4166666666666667,1.25,0.8333333333333334,4.5,81.84210526315789,31.96590909090909,67.08080170441096,39.6,0.0,0.0,20.0,0.8499999999999999,0.0,11,40,0.85,0.0,0.0,79,72,80,76,75,72,direct star-led attacks,2026-06-06,6,3,3,21,15,10,5,55.28,51.25,0.5,0.417,0.667,0.583,0.75,9.45,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,34,0.15,0.0,0.0,0.0,0.82
Czechia,A,UEFA,0,56.04667912395477,-0.19777091785253653,0.5900000000000001,52.38095238095239,65.83,38.833,15.193147606326585,41,12,1.833,0.9166666666666666,2.0833333333333335,1.1666666666666667,-2.5,80.73684210526315,50.07348484848485,54.31268050185433,39.6,0.0,0.0,20.0,0.8499999999999999,0.0,18,50,0.56,0.0,0.0,76,70,73,75,76,72,direct pressing,2026-06-04,6,4,2,22,25,14,11,65.83,63.167,0.417,0.083,0.667,0.667,0.083,10.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,28,0.06,0.0,0.0,0.0,1.0
Australia,D,AFC,0,55.084849537193115,-0.2702397706481193,0.62,69.04761904761905,52.15,46.639,47.703854471441296,27,12,1.833,0.4166666666666667,1.3333333333333333,0.9166666666666666,-2.5,82.3157894736842,36.2939393939394,54.17182987453642,38.5,0.0,0.0,20.0,0.8499999999999999,0.0,24,55,0.509,0.0,0.0,75,71,72,73,76,70,set-piece directness,2026-06-06,7,1,4,22,16,11,5,52.15,47.833,0.333,0.25,0.5,0.5,0.333,11.8,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,28,0.091,0.0,0.0,0.0,0.76
Scotland,C,UEFA,0,55.02026755952168,-0.27510568650009115,0.595,50.0,62.63,36.25,6.182419539498785,43,12,1.833,1.0833333333333333,2.1666666666666665,1.0833333333333333,-2.5,82.26315789473684,51.656060606060606,50.68761934822063,39.050000000000004,0.0,0.0,20.0,0.8499999999999999,0.0,19,49,0.633,0.0,0.0,77,72,74,76,77,71,physical wide play,2026-06-06,7,1,4,22,26,13,13,62.63,67.417,0.333,0.25,0.5,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,31,0.041,0.0,0.0,0.0,1.0
Congo DR,K,CAF,0,53.40862076641106,-0.39653488333072334,0.575,46.42857142857143,66.1,41.694,19.963533053470716,46,12,2.0,0.6666666666666666,1.1666666666666667,0.5,0.5,79.94736842105263,25.942424242424245,84.91608932375918,36.85,0.0,0.0,20.0,0.8499999999999999,0.0,15,31,0.581,0.0,0.0,72,69,71,70,71,67,physical transitions,2026-06-03,7,3,2,24,14,6,8,66.1,60.917,0.667,0.167,0.833,0.417,0.75,11.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18,0.065,0.0,0.0,0.0,0.82
